PlayerID,PlayerName,WR_ID
991,Ilin Andrew,
992,schipov nikita,
993,schipov sergey,
994,Aleksey Radchenko,653318
995,Alexey Baranov,657591
996,Subbotin Igor,
999,Tenyaev Alexandr,
1000,Sergey Legostaev,
1001,Khanov Stanisla,
1002,Сергей Горбунов,
1003,Владимир Звездин,
1004,Vladislav Kadnichanskyy,
1007,Chevnovik Dmitriy,
1008,Chevnovik Sergei,
1009,Anton Sotov,
1014,Mihail Desyatnik,
1015,Kirill Rogozin,
1016,Farid Azizov,
1017,Rufat Azizov,
1018,Валерий Посредников,
1019,Константин Хомяков,
1020,Denys Opara,
1021,Oleksii Husak,310027
1022,Andrey Kolybelnikov,
1023,German Fokin,654955
1026,Timofii Datsenko,659044
1027,Oles Kondrashevskyy,
1028,Oleksii Driuk,
1031,Yan Zaripov,
1033,Dmitry Ovechkin,657787
1034,Даниил Силин,
1039,German Bykovskij,
1040,Semichev Alexandr,240597
1043,Sergey Ivanov,659159
1044,Burtsev Ilya,
1045,Chapligin Andrey,
1048,Nikolay Ivanov,
1049,нет нет,
1051,Sergey Lihushin,
1052,хз хз,
1055,Pjankov Dmitrij,
1057,Alexander Blagov,
1059,Ivan Titkov,661506
1060,Mikhail Vernik,
1061,Алексей Белинов,
1062,Александр Белинов,
1071,Дарья Олимова,
1072,Oleg Tkachenko,655811
1073,Dmytro Krasnikov,
1075,Vladimir Sannikov,
1076,Sergiy Zaychenko,
1077,Oksana Derkach,
1078,Aleksander Churilin,
1079,Bogdan Bilovusyak,
1082,Даниил Абакумов,
1084,Opara Denis,
1085,Oleg Sorokin,
1086,Mykyta Sorokin,
1088,Alexander Duev,658420
1089,Ivan Veremeenko,
1091,Sergey Alexeev,
1092,Дмитрий Вавилов,
1093,Matvey Kryazhev,
1094,Александр Румянцев,
1095,Dmytro Kosenko,
1096,Denus Opara,
1099,Oleksandr Zaychuk,
1100,Nikita Goncharuk,
1101,Okhota Vladimir,
1102,Egor Sapogko,659391
1103,Zaichenko Maksym,
1104,Mykhailuk Petro,
1105,Vadim Umanskiy,
1106,Sergey Kuznechikov,
1108,Aleksandr Kozijanchuk,
1109,Vlasuk Ivan,
1111,Дмитрий Нестеров,
1112,Елена Белугина,
1113,Ilya Vlasenko,
1114,Prazian Gamlet,
1115,Kovtun Oleg,
1116,Pedos Viktor,
1117,Viktor Pedos,
1120,Vladimir Tarakanov,659258
1121,Vyacheslav Domashev,659322
1122,Алина Шакирова,
1123,Vladimir Nikulov,658939
1124,Dmitry Alekseev,658940
1125,Никита Сушков,
1126,Grigoriy Rozov,
1127,Opanasenko Alexandr,
1128,Belyakov Andrey,
1129,Uryupin Sergey,
1130,Olexandr Zaychuk,
1131,Groshev Denis,
1132,Kondrashov Oleg,
1133,Novytskiy Sergey,
1134,Roman Borisov,
1135,Dmitriy Konstantinov,
1136,Andrey Titov,653605
1137,Khotskyi Andriy,
1139,Дмитрий Харченко,
1140,Станислав Рыжков,
1141,Сергей Новиков,
1142,Alexander Galkin,653482
1143,Oleg Tarasenko,
1144,Dmytro Poluhin,
1145,Maxim Salatov,
1146,Denis Lavrenuk,
1147,Skiba Dmitry,
1149,Gagging Ggffhhhg,
1150,Ndhddy Udhrhd,
1151,Vladimir Alekseev,659508
1152,Tyngaev Oleksandr,
1153,Rustam Alakhverdiev,
1154,Kyrylo Vasylkov,659665
1155,Ellina Tarasova,659664
1156,Semen Apretov,659666
1157,Oleksandr Apretov,659661
1158,Vitaliy Ignatenko,656194
1159,Kuzmin Mikhail,
1162,Bratko Sergey,653607
1163,Zhirov Vasiliy,
1164,Rudenko Oksana,
1166,Sychugova Alina,
1167,Suchugov Aleksandr,
1168,Владимир Шимановский,
1169,Denys Makhsma,
1170,Oleksandr Sokha,
1171,Alexander Krikorov,
1172,Pavel Krikorov,
1174,Matantsev Valeriy,
1176,Александра Шураева,
1177,Александра Сергеева,
1180,Roman Mironenko,
1181,Tatyana Orlova,
1182,Natalia Sadovaya,
1183,Elena Titova,
1190,Alexey Plokhikh,
1197,Oleksandr Zaichuk,653190
1199,Shilinskiy Vadim,
1200,Dmitriev Pete,
1201,Korabel Nikolay,
1202,Igor Nehoroshikh,
1204,Bjørn Røken,220104
1205,Alexey Shastov,240311
1206,Peter Östlund,
1207,Lars Henriksson,280205
1208,Janne Ollila,100189
1209,Patrik Petr,70409
1210,Gints Lasmanis,201212
1211,Jimmy Mardell,650230
1212,Juho Rautio,650593
1213,Stian Ostrem,220017
1214,Bjarne Axelsen,80004
1215,Thomas Petersson,280408
1216,Daniel Remmem,220213
1217,Yngve Aasheim,220035
1218,Vaclav Pikl,70053
1219,Myllykangas Mika,
1220,Filip Hamacek,650204
1221,David Freseus,
1223,Jørn Moldvær,220182
1224,Krystof Lebl,79263
1226,Andreas Røren,650862
1228,Andersson Henric,
1230,Espen Moe,220180
1231,Martin Arenlind,280633
1232,Eriksson Olle,
1233,Blasko Imrich,
1234,Bernard Rjavec,270034
1235,Miroslav Cernoch,70310
1236,Uros Matanovic,270191
1237,Daniel Matysek,70040
1238,Martin Madera,654893
1239,Mitro Daniel,
1240,Hudec Karol,
1241,Martin Zenisek,70248
1243,Arne Johannes Holmin,220135
1244,Gergely Regula,
1245,Stian Lode,220172
1246,Magor Papp,150083
1247,Trond Ove Gangsøy,220094
1248,Ingebret Risa,220216
1251,Nejc Škrlep,270022
1252,Anette Engel,80203
1253,Frank Bruneske,120218
1254,Thomas Haussknecht,120427
1255,Klaus Jean-Claude,
1256,Gerrit Janssen,120014
1257,Stefaniszyn Reggie,
1258,Tim Weisseisen,650122
1259,Petrek Jaroslav,
1260,Cserhati Zoltan,
1261,Christian Aden,120017
1263,Ewoud van Veen,210001
1264,Rolf Locher,290030
1265,Rompa Eike,
1266,Luginbuehl Beat,
1267,Leon Haussknecht,651152
1268,Borsanyi Peter,
1269,Richter Kent,
1270,Klaus Ramon,
1271,Barna Stefan,
1273,Mitro Milan,
1274,Audrius Pleikys,656529
1275,Blatti Christoph,
1276,David Hasler,290062
1277,Martin Dion,656215
1278,Jürgen Riese,120097
1279,Mathias Jacobsen,
